customerKey,First Name,Last Name,full Name,gender,DateFirstPurchase,CustomerCity
11000,Jon,Yang,Jon Yang,MALE,2020-01-19,Rockhampton
11001,Eugene,Huang,Eugene Huang,MALE,2020-01-15,Seaford
11002,Ruben,Torres,Ruben Torres,MALE,2020-01-07,Hobart
11003,Christy,Zhu,Christy Zhu,FEMALE,2019-12-29,North Ryde
11004,Elizabeth,Johnson,Elizabeth Johnson,FEMALE,2020-01-23,Wollongong
11005,Julio,Ruiz,Julio Ruiz,MALE,2019-12-30,East Brisbane
11006,Janet,Alvarez,Janet Alvarez,FEMALE,2020-01-24,Matraville
11007,Marco,Mehta,Marco Mehta,MALE,2020-01-09,Warrnambool
11008,Rob,Verhoff,Rob Verhoff,FEMALE,2020-01-25,Bendigo
11009,Shannon,Carlson,Shannon Carlson,MALE,2020-01-27,Hervey Bay
11010,Jacquelyn,Suarez,Jacquelyn Suarez,FEMALE,2020-01-14,East Brisbane
11011,Curtis,Lu,Curtis Lu,MALE,2019-12-30,East Brisbane
11012,Lauren,Walker,Lauren Walker,FEMALE,2022-03-16,Bremerton
11013,Ian,Jenkins,Ian Jenkins,MALE,2022-04-13,Lebanon
11014,Sydney,Bennett,Sydney Bennett,FEMALE,2022-03-23,Redmond
11015,Chloe,Young,Chloe Young,FEMALE,2022-01-18,Burbank
11016,Wyatt,Hill,Wyatt Hill,MALE,2022-02-09,Imperial Beach
11017,Shannon,Wang,Shannon Wang,FEMALE,2020-01-12,Sunbury
11018,Clarence,Rai,Clarence Rai,MALE,2020-01-17,Bendigo
11019,Luke,Lal,Luke Lal,MALE,2022-02-12,Langley
11020,Jordan,King,Jordan King,MALE,2021-12-29,Metchosin
11021,Destiny,Wilson,Destiny Wilson,FEMALE,2022-01-23,Beaverton
11022,Ethan,Zhang,Ethan Zhang,MALE,2022-01-20,Bellingham
11023,Seth,Edwards,Seth Edwards,MALE,2022-02-17,Bellflower
11024,Russell,Xie,Russell Xie,MALE,2022-06-27,Concord
11025,Alejandro,Beck,Alejandro Beck,MALE,2020-01-06,Hawthorne
11026,Harold,Sai,Harold Sai,MALE,2020-01-23,Goulburn
11027,Jessie,Zhao,Jessie Zhao,MALE,2020-01-16,Warrnambool
11028,Jill,Jimenez,Jill Jimenez,FEMALE,2020-01-26,St. Leonards
11029,Jimmy,Moreno,Jimmy Moreno,MALE,2020-01-19,Bendigo
11030,Bethany,Yuan,Bethany Yuan,FEMALE,2020-02-05,Cloverdale
11031,Theresa,Ramos,Theresa Ramos,FEMALE,2020-02-01,Matraville
11032,Denise,Stone,Denise Stone,FEMALE,2020-02-18,Melbourne
11033,Jaime,Nath,Jaime Nath,MALE,2020-02-15,Milsons Point
11034,Ebony,Gonzalez,Ebony Gonzalez,FEMALE,2020-02-01,North Sydney
11035,Wendy,Dominguez,Wendy Dominguez,FEMALE,2020-02-06,Cranbourne
11036,Jennifer,Russell,Jennifer Russell,FEMALE,2022-01-22,National City
11037,Chloe,Garcia,Chloe Garcia,FEMALE,2022-01-20,Cliffside
11038,Diana,Hernandez,Diana Hernandez,FEMALE,2020-02-07,Lavender Bay
11039,Marc,Martin,Marc Martin,MALE,2020-02-07,Wollongong
11040,Jesse,Murphy,Jesse Murphy,MALE,2022-04-03,Tacoma
11041,Amanda,Carter,Amanda Carter,FEMALE,2022-01-14,Glendale
11042,Megan,Sanchez,Megan Sanchez,FEMALE,2022-01-21,Los Angeles
